state,art_form,tourist_visits,month,year,region,funding_received,latitude,longitude
Karnataka,Bidri Ware,98888,2,2020,South,43726,15.3173,75.7139
Kerala,Mohiniyattam,49572,2,2020,South,51562,10.8505,76.2711
Madhya Pradesh,Bagh Print,82962,2,2020,Central,94387,23.4733,77.947
Maharashtra,Lavani Dance,53497,2,2020,West,77836,19.7515,75.7139
Manipur,Phanek Weaving,10351,2,2020,Northeast,17808,24.6637,93.9063
Meghalaya,Garo Wangala Dance,22019,2,2020,Northeast,42996,25.467,91.3662
Mizoram,Cheraw Dance,18996,2,2020,Northeast,9550,23.1645,92.9376
Nagaland,Naga Shawl Weaving,18926,2,2020,Northeast,23560,26.1584,94.5624
Odisha,Pattachitra,62856,2,2020,East,83138,20.9517,85.0985
Punjab,Jutti Making,18304,2,2020,North,33028,31.1471,75.3412
Rajasthan,Miniature Painting,56054,2,2020,North,44831,27.0238,74.2179
Sikkim,Mask Dance,17088,2,2020,Northeast,17864,27.533,88.5122
Tamil Nadu,Bharatanatyam,91834,2,2020,South,212546,11.1271,78.6569
Telangana,Bidri Craft,57195,2,2020,South,22902,18.1124,79.0193
Tripura,Hojagiri Dance,27292,2,2020,Northeast,40859,23.9408,91.9882
Uttar Pradesh,Kathak Dance,79153,2,2020,North,68515,26.8467,80.9462
Uttarakhand,Aipan Art,36574,2,2020,North,62408,30.0668,79.0193
West Bengal,Durga Puja Art,45486,2,2020,East,34112,22.9868,87.855
Delhi,Kathak Dance,41280,2,2020,North,54022,28.7041,77.1025
Jammu and Kashmir,Rauf Dance,37661,2,2020,North,49081,33.7782,76.5762
Lakshadweep,Parichakali,65407,2,2020,South,85224,10.5667,72.6417
Andhra Pradesh,Kuchipudi,37016,3,2020,South,46719,15.9129,79.74
Arunachal Pradesh,Monpa Mask,66843,3,2020,Northeast,42405,28.218,94.7278
Assam,Assam Silk Weaving,39137,3,2020,Northeast,48485,26.2006,92.9376
Bihar,Manjusha Art,25974,3,2020,East,32125,25.0961,85.3131
Chhattisgarh,Godna Art,38668,3,2020,Central,35668,21.2787,81.8661
Goa,Goan Lacework,56887,3,2020,West,73507,15.2993,74.124
Gujarat,Rogan Art,69040,3,2020,West,125555,22.2587,71.1924
Haryana,Embroidery Craft,20884,3,2020,North,24974,29.0588,76.0856
Himachal Pradesh,Kullu Shawl Weaving,27822,3,2020,North,38195,31.1048,77.1734
Jharkhand,Chhau Dance,19905,3,2020,East,15424,23.6102,85.2799
Karnataka,Mysore Painting,49137,3,2020,South,92743,15.3173,75.7139
Kerala,Aranmula Kannadi,81798,3,2020,South,121162,10.8505,76.2711
Madhya Pradesh,Gond Art,48507,3,2020,Central,53009,23.4733,77.947
Maharashtra,Paithani Sarees,49380,3,2020,West,33160,19.7515,75.7139
Manipur,Longpi Pottery,34090,3,2020,Northeast,25027,24.6637,93.9063
Meghalaya,Bamboo Craft,16011,3,2020,Northeast,24066,25.467,91.3662
Mizoram,Mizo Bamboo Dance,29241,3,2020,Northeast,11674,23.1645,92.9376
Nagaland,Naga Shawl Weaving,26190,3,2020,Northeast,28012,26.1584,94.5624
Odisha,Odissi Dance,30793,3,2020,East,24526,20.9517,85.0985
Punjab,Phulkari Embroidery,40429,3,2020,North,71545,31.1471,75.3412
Rajasthan,Miniature Painting,64084,3,2020,North,70790,27.0238,74.2179
Sikkim,Thangka Painting,43652,3,2020,Northeast,32267,27.533,88.5122
Tamil Nadu,Bharatanatyam,53449,3,2020,South,63319,11.1271,78.6569
Telangana,Nirmal Paintings,32815,3,2020,South,39285,18.1124,79.0193
Tripura,Hojagiri Dance,22324,3,2020,Northeast,34441,23.9408,91.9882
Uttar Pradesh,Kathak Dance,69358,3,2020,North,134696,26.8467,80.9462
Uttarakhand,Choliya Dance,64763,3,2020,North,73412,30.0668,79.0193
West Bengal,Kantha Stitch,50579,3,2020,East,40291,22.9868,87.855
Delhi,Kathak Dance,54439,3,2020,North,94100,28.7041,77.1025
Jammu and Kashmir,Rauf Dance,54012,3,2020,North,47020,33.7782,76.5762
Lakshadweep,Shell Craft,59591,3,2020,South,90517,10.5667,72.6417
Andhra Pradesh,Budithi Brass Craft,23075,4,2020,South,68181,15.9129,79.74
Arunachal Pradesh,Monpa Mask,57674,4,2020,Northeast,36747,28.218,94.7278
Assam,Bihu Dance,74693,4,2020,Northeast,148758,26.2006,92.9376
Bihar,Sujni Embroidery,24983,4,2020,East,20980,25.0961,85.3131
Chhattisgarh,Bell Metal Craft,21299,4,2020,Central,12026,21.2787,81.8661
Goa,Dekni Dance,45487,4,2020,West,45184,15.2993,74.124
Gujarat,Garba,50495,4,2020,West,73108,22.2587,71.1924
Haryana,Embroidery Craft,35822,4,2020,North,44687,29.0588,76.0856
Himachal Pradesh,Chamba Rumal,36521,4,2020,North,76870,31.1048,77.1734
Jharkhand,Dokra Metal Craft,11795,4,2020,East,17652,23.6102,85.2799
Karnataka,Mysore Painting,33704,4,2020,South,29699,15.3173,75.7139
Kerala,Aranmula Kannadi,90322,4,2020,South,49887,10.8505,76.2711
Madhya Pradesh,Gond Art,24706,4,2020,Central,44067,23.4733,77.947
Maharashtra,Lavani Dance,35846,4,2020,West,45768,19.7515,75.7139
Manipur,Longpi Pottery,41553,4,2020,Northeast,74653,24.6637,93.9063
Meghalaya,Bamboo Craft,34362,4,2020,Northeast,45112,25.467,91.3662
Mizoram,Mizo Bamboo Dance,41518,4,2020,Northeast,59255,23.1645,92.9376
Nagaland,Wood Carving,41370,4,2020,Northeast,29880,26.1584,94.5624
Odisha,Applique Work,24238,4,2020,East,15308,20.9517,85.0985
Punjab,Bhangra,29761,4,2020,North,38582,31.1471,75.3412
Rajasthan,Blue Pottery,79972,4,2020,North,137325,27.0238,74.2179
Sikkim,Carpet Weaving,29078,4,2020,Northeast,41419,27.533,88.5122
Tamil Nadu,Stone Carving,23836,4,2020,South,32807,11.1271,78.6569
Telangana,Bidri Craft,39703,4,2020,South,43860,18.1124,79.0193
Tripura,Hojagiri Dance,32279,4,2020,Northeast,16158,23.9408,91.9882
Uttar Pradesh,Kathak Dance,78856,4,2020,North,121014,26.8467,80.9462
Uttarakhand,Aipan Art,91654,4,2020,North,54699,30.0668,79.0193
West Bengal,Patachitra,28883,4,2020,East,37796,22.9868,87.855
Delhi,Kathak Dance,53702,4,2020,North,48367,28.7041,77.1025
Jammu and Kashmir,Rauf Dance,51536,4,2020,North,77835,33.7782,76.5762
Lakshadweep,Lava Dance,36700,4,2020,South,62571,10.5667,72.6417
Andhra Pradesh,Kuchipudi,27210,5,2020,South,57831,15.9129,79.74
Arunachal Pradesh,Monpa Mask,38451,5,2020,Northeast,22893,28.218,94.7278
Assam,Assam Silk Weaving,41328,5,2020,Northeast,19679,26.2006,92.9376
Bihar,Sujni Embroidery,26740,5,2020,East,58431,25.0961,85.3131
Chhattisgarh,Bell Metal Craft,11259,5,2020,Central,20740,21.2787,81.8661
Goa,Fugdi Dance,30751,5,2020,West,21087,15.2993,74.124
Gujarat,Patola Weaving,33897,5,2020,West,65338,22.2587,71.1924
Haryana,Embroidery Craft,24642,5,2020,North,21716,29.0588,76.0856
Himachal Pradesh,Chamba Rumal,119348,5,2020,North,94230,31.1048,77.1734
Jharkhand,Sohrai Painting,28812,5,2020,East,29341,23.6102,85.2799
Karnataka,Bidri Ware,46827,5,2020,South,38558,15.3173,75.7139
Kerala,Kathakali,56540,5,2020,South,37099,10.8505,76.2711
Madhya Pradesh,Chanderi Weaving,27675,5,2020,Central,14998,23.4733,77.947
Maharashtra,Paithani Sarees,47639,5,2020,West,60600,19.7515,75.7139
Manipur,Longpi Pottery,39300,5,2020,Northeast,38214,24.6637,93.9063
Meghalaya,Garo Wangala Dance,48098,5,2020,Northeast,23434,25.467,91.3662
Mizoram,Puanchei Textiles,36034,5,2020,Northeast,70228,23.1645,92.9376
Nagaland,Hornbill Festival Dances,27417,5,2020,Northeast,31228,26.1584,94.5624
Odisha,Pattachitra,28651,5,2020,East,37177,20.9517,85.0985
Punjab,Phulkari Embroidery,15261,5,2020,North,17922,31.1471,75.3412
Rajasthan,Blue Pottery,94015,5,2020,North,21933,27.0238,74.2179
Sikkim,Mask Dance,73725,5,2020,Northeast,71500,27.533,88.5122
Tamil Nadu,Stone Carving,34037,5,2020,South,47218,11.1271,78.6569
Telangana,Nirmal Paintings,26335,5,2020,South,29654,18.1124,79.0193
Tripura,Hojagiri Dance,31070,5,2020,Northeast,24610,23.9408,91.9882
Uttar Pradesh,Lucknow Zardozi,83372,5,2020,North,72691,26.8467,80.9462
Uttarakhand,Choliya Dance,25477,5,2020,North,25870,30.0668,79.0193
West Bengal,Kantha Stitch,44182,5,2020,East,35128,22.9868,87.855
Delhi,Meenakari Craft,66670,5,2020,North,52553,28.7041,77.1025
Jammu and Kashmir,Walnut Wood Carving,42797,5,2020,North,42465,33.7782,76.5762
Lakshadweep,Coral Craft,23014,5,2020,South,37008,10.5667,72.6417
Andhra Pradesh,Budithi Brass Craft,29721,6,2020,South,27823,15.9129,79.74
Arunachal Pradesh,Monpa Mask,64796,6,2020,Northeast,69821,28.218,94.7278
Assam,Bihu Dance,35621,6,2020,Northeast,77507,26.2006,92.9376
Bihar,Sujni Embroidery,21133,6,2020,East,25294,25.0961,85.3131
Chhattisgarh,Bell Metal Craft,13820,6,2020,Central,22945,21.2787,81.8661
Goa,Dekni Dance,27121,6,2020,West,67433,15.2993,74.124
Gujarat,Garba,20302,6,2020,West,25129,22.2587,71.1924
Haryana,Charpai Weaving,28696,6,2020,North,13470,29.0588,76.0856
Himachal Pradesh,Kangra Painting,49452,6,2020,North,31439,31.1048,77.1734
Jharkhand,Chhau Dance,21328,6,2020,East,21812,23.6102,85.2799
Karnataka,Bidri Ware,50259,6,2020,South,124058,15.3173,75.7139
Kerala,Aranmula Kannadi,64953,6,2020,South,54755,10.8505,76.2711
Madhya Pradesh,Chanderi Weaving,14751,6,2020,Central,6515,23.4733,77.947
Maharashtra,Lavani Dance,30936,6,2020,West,49248,19.7515,75.7139
Manipur,Longpi Pottery,56255,6,2020,Northeast,72720,24.6637,93.9063
Meghalaya,Nongkrem Dance,56524,6,2020,Northeast,40695,25.467,91.3662
Mizoram,Cheraw Dance,57785,6,2020,Northeast,88238,23.1645,92.9376
Nagaland,Hornbill Festival Dances,73691,6,2020,Northeast,103374,26.1584,94.5624
Odisha,Odissi Dance,16686,6,2020,East,7320,20.9517,85.0985
Punjab,Bhangra,52078,6,2020,North,80627,31.1471,75.3412
Rajasthan,Miniature Painting,66476,6,2020,North,78082,27.0238,74.2179
Sikkim,Thangka Painting,45939,6,2020,Northeast,79037,27.533,88.5122
Tamil Nadu,Tanjore Painting,30758,6,2020,South,34510,11.1271,78.6569
Telangana,Perini Shivatandavam,39084,6,2020,South,34485,18.1124,79.0193
Tripura,Bamboo Craft,44897,6,2020,Northeast,46546,23.9408,91.9882
Uttar Pradesh,Kathak Dance,120605,6,2020,North,167632,26.8467,80.9462
Uttarakhand,Choliya Dance,78906,6,2020,North,144004,30.0668,79.0193
West Bengal,Durga Puja Art,39410,6,2020,East,23769,22.9868,87.855
Delhi,Zardozi Work,71942,6,2020,North,100979,28.7041,77.1025
Jammu and Kashmir,Walnut Wood Carving,37681,6,2020,North,55673,33.7782,76.5762
Lakshadweep,Parichakali,17540,6,2020,South,17588,10.5667,72.6417
Andhra Pradesh,Budithi Brass Craft,27120,7,2020,South,20764,15.9129,79.74
Arunachal Pradesh,Thangka Paintings,21979,7,2020,Northeast,27281,28.218,94.7278
Assam,Assam Silk Weaving,41510,7,2020,Northeast,66358,26.2006,92.9376
Bihar,Sujni Embroidery,24808,7,2020,East,34650,25.0961,85.3131
Chhattisgarh,Panthi Dance,15261,7,2020,Central,14591,21.2787,81.8661
Goa,Fugdi Dance,33876,7,2020,West,38164,15.2993,74.124
Gujarat,Rogan Art,25792,7,2020,West,34009,22.2587,71.1924
Haryana,Embroidery Craft,20001,7,2020,North,20983,29.0588,76.0856
Himachal Pradesh,Kangra Painting,32797,7,2020,North,55778,31.1048,77.1734
Jharkhand,Sohrai Painting,37839,7,2020,East,50202,23.6102,85.2799
Karnataka,Bidri Ware,88110,7,2020,South,95870,15.3173,75.7139
Kerala,Aranmula Kannadi,107107,7,2020,South,250634,10.8505,76.2711
Madhya Pradesh,Chanderi Weaving,43096,7,2020,Central,97087,23.4733,77.947
Maharashtra,Warli Painting,53335,7,2020,West,68679,19.7515,75.7139
Manipur,Phanek Weaving,33050,7,2020,Northeast,55612,24.6637,93.9063
Meghalaya,Nongkrem Dance,12735,7,2020,Northeast,21533,25.467,91.3662
Mizoram,Cheraw Dance,18387,7,2020,Northeast,20967,23.1645,92.9376
Nagaland,Naga Shawl Weaving,24132,7,2020,Northeast,31101,26.1584,94.5624
Odisha,Applique Work,34613,7,2020,East,64803,20.9517,85.0985
Punjab,Jutti Making,27386,7,2020,North,63981,31.1471,75.3412
Rajasthan,Ghoomar Dance,35153,7,2020,North,58568,27.0238,74.2179
Sikkim,Thangka Painting,40509,7,2020,Northeast,54387,27.533,88.5122
Tamil Nadu,Stone Carving,46754,7,2020,South,63476,11.1271,78.6569
Telangana,Bidri Craft,21959,7,2020,South,11117,18.1124,79.0193
Tripura,Hojagiri Dance,26716,7,2020,Northeast,35605,23.9408,91.9882
Uttar Pradesh,Chikankari,74182,7,2020,North,42947,26.8467,80.9462
Uttarakhand,Aipan Art,35188,7,2020,North,16533,30.0668,79.0193
West Bengal,Patachitra,37734,7,2020,East,24278,22.9868,87.855
Delhi,Zardozi Work,47888,7,2020,North,86570,28.7041,77.1025
Jammu and Kashmir,Pashmina Weaving,41170,7,2020,North,32089,33.7782,76.5762
Lakshadweep,Shell Craft,40285,7,2020,South,57411,10.5667,72.6417
Andhra Pradesh,Kuchipudi,26276,8,2020,South,37598,15.9129,79.74
Arunachal Pradesh,Thangka Paintings,39409,8,2020,Northeast,48549,28.218,94.7278
Assam,Sattriya Dance,18126,8,2020,Northeast,29054,26.2006,92.9376
Bihar,Manjusha Art,59739,8,2020,East,34839,25.0961,85.3131
Chhattisgarh,Panthi Dance,26158,8,2020,Central,22286,21.2787,81.8661
Goa,Fugdi Dance,110253,8,2020,West,178640,15.2993,74.124
Gujarat,Patola Weaving,57694,8,2020,West,104989,22.2587,71.1924
Haryana,Embroidery Craft,28150,8,2020,North,21026,29.0588,76.0856
Himachal Pradesh,Kullu Shawl Weaving,33787,8,2020,North,39149,31.1048,77.1734
Jharkhand,Dokra Metal Craft,53324,8,2020,East,80867,23.6102,85.2799
Karnataka,Mysore Painting,49060,8,2020,South,39954,15.3173,75.7139
Kerala,Aranmula Kannadi,87601,8,2020,South,65734,10.8505,76.2711
Madhya Pradesh,Chanderi Weaving,43342,8,2020,Central,53756,23.4733,77.947
Maharashtra,Warli Painting,79104,8,2020,West,179322,19.7515,75.7139
Manipur,Longpi Pottery,17757,8,2020,Northeast,20058,24.6637,93.9063
Meghalaya,Bamboo Craft,10713,8,2020,Northeast,21852,25.467,91.3662
Mizoram,Puanchei Textiles,15479,8,2020,Northeast,8405,23.1645,92.9376
Nagaland,Wood Carving,20621,8,2020,Northeast,17181,26.1584,94.5624
Odisha,Odissi Dance,51644,8,2020,East,45704,20.9517,85.0985
Punjab,Jutti Making,31756,8,2020,North,24222,31.1471,75.3412
Rajasthan,Ghoomar Dance,45357,8,2020,North,41782,27.0238,74.2179
Sikkim,Thangka Painting,22542,8,2020,Northeast,43708,27.533,88.5122
Tamil Nadu,Stone Carving,49819,8,2020,South,65778,11.1271,78.6569
Telangana,Nirmal Paintings,56950,8,2020,South,108675,18.1124,79.0193
Tripura,Bamboo Craft,40122,8,2020,Northeast,84915,23.9408,91.9882
Uttar Pradesh,Lucknow Zardozi,38361,8,2020,North,50099,26.8467,80.9462
Uttarakhand,Choliya Dance,32696,8,2020,North,43774,30.0668,79.0193
West Bengal,Patachitra,79734,8,2020,East,132470,22.9868,87.855
Delhi,Zardozi Work,41858,8,2020,North,58869,28.7041,77.1025
Jammu and Kashmir,Pashmina Weaving,36974,8,2020,North,24605,33.7782,76.5762
Lakshadweep,Shell Craft,52425,8,2020,South,54652,10.5667,72.6417
Andhra Pradesh,Kalamkari,76812,9,2020,South,130416,15.9129,79.74
Arunachal Pradesh,Thangka Paintings,20643,9,2020,Northeast,22420,28.218,94.7278
Assam,Sattriya Dance,27413,9,2020,Northeast,22062,26.2006,92.9376
Bihar,Madhubani Painting,35355,9,2020,East,30622,25.0961,85.3131
Chhattisgarh,Godna Art,32046,9,2020,Central,57989,21.2787,81.8661
Goa,Dekni Dance,114494,9,2020,West,237317,15.2993,74.124
Gujarat,Rogan Art,112085,9,2020,West,147828,22.2587,71.1924
Haryana,Phag Dance,24509,9,2020,North,63266,29.0588,76.0856
Himachal Pradesh,Kullu Shawl Weaving,43228,9,2020,North,62075,31.1048,77.1734
Jharkhand,Chhau Dance,75556,9,2020,East,55932,23.6102,85.2799
Karnataka,Mysore Painting,50233,9,2020,South,65322,15.3173,75.7139
Kerala,Mohiniyattam,74702,9,2020,South,72977,10.8505,76.2711
Madhya Pradesh,Chanderi Weaving,65241,9,2020,Central,66739,23.4733,77.947
Maharashtra,Warli Painting,59324,9,2020,West,71823,19.7515,75.7139
Manipur,Manipuri Dance,33764,9,2020,Northeast,38403,24.6637,93.9063
Meghalaya,Garo Wangala Dance,44958,9,2020,Northeast,31734,25.467,91.3662
Mizoram,Puanchei Textiles,34187,9,2020,Northeast,28164,23.1645,92.9376
Nagaland,Naga Shawl Weaving,40687,9,2020,Northeast,20798,26.1584,94.5624
Odisha,Applique Work,87315,9,2020,East,192621,20.9517,85.0985
Punjab,Jutti Making,18586,9,2020,North,53908,31.1471,75.3412
Rajasthan,Miniature Painting,52515,9,2020,North,75268,27.0238,74.2179
Sikkim,Carpet Weaving,18744,9,2020,Northeast,23046,27.533,88.5122
Tamil Nadu,Bharatanatyam,49145,9,2020,South,59750,11.1271,78.6569
Telangana,Bidri Craft,62727,9,2020,South,35357,18.1124,79.0193
Tripura,Hojagiri Dance,22132,9,2020,Northeast,38449,23.9408,91.9882
Uttar Pradesh,Lucknow Zardozi,32555,9,2020,North,41527,26.8467,80.9462
Uttarakhand,Aipan Art,39707,9,2020,North,26977,30.0668,79.0193
West Bengal,Durga Puja Art,92966,9,2020,East,51045,22.9868,87.855
Delhi,Zardozi Work,51305,9,2020,North,47552,28.7041,77.1025
Jammu and Kashmir,Rauf Dance,40166,9,2020,North,48404,33.7782,76.5762
Lakshadweep,Shell Craft,57587,9,2020,South,75115,10.5667,72.6417
Andhra Pradesh,Kuchipudi,113506,10,2020,South,228563,15.9129,79.74
Arunachal Pradesh,Thangka Paintings,32439,10,2020,Northeast,30576,28.218,94.7278
Assam,Bihu Dance,43355,10,2020,Northeast,30856,26.2006,92.9376
Bihar,Madhubani Painting,39578,10,2020,East,84308,25.0961,85.3131
Chhattisgarh,Godna Art,40573,10,2020,Central,23643,21.2787,81.8661
Goa,Fugdi Dance,89541,10,2020,West,222723,15.2993,74.124
Gujarat,Patola Weaving,99691,10,2020,West,168802,22.2587,71.1924
Haryana,Charpai Weaving,61579,10,2020,North,94634,29.0588,76.0856
Himachal Pradesh,Kangra Painting,32732,10,2020,North,45157,31.1048,77.1734
Jharkhand,Sohrai Painting,28800,10,2020,East,47436,23.6102,85.2799
Karnataka,Bidri Ware,76885,10,2020,South,94203,15.3173,75.7139
Kerala,Mohiniyattam,113266,10,2020,South,245467,10.8505,76.2711
Madhya Pradesh,Gond Art,89229,10,2020,Central,126414,23.4733,77.947
Maharashtra,Warli Painting,74120,10,2020,West,71153,19.7515,75.7139
Manipur,Longpi Pottery,38027,10,2020,Northeast,41313,24.6637,93.9063
Meghalaya,Nongkrem Dance,34242,10,2020,Northeast,21249,25.467,91.3662
Mizoram,Mizo Bamboo Dance,34743,10,2020,Northeast,50902,23.1645,92.9376
Nagaland,Hornbill Festival Dances,20583,10,2020,Northeast,18224,26.1584,94.5624
Odisha,Odissi Dance,68303,10,2020,East,112582,20.9517,85.0985
Punjab,Jutti Making,24650,10,2020,North,38269,31.1471,75.3412
Rajasthan,Ghoomar Dance,63310,10,2020,North,99273,27.0238,74.2179
Sikkim,Mask Dance,50122,10,2020,Northeast,72138,27.533,88.5122
Tamil Nadu,Stone Carving,80994,10,2020,South,102637,11.1271,78.6569
Telangana,Nirmal Paintings,66876,10,2020,South,64184,18.1124,79.0193
Tripura,Risa Textile Weaving,31102,10,2020,Northeast,34282,23.9408,91.9882
Uttar Pradesh,Kathak Dance,40014,10,2020,North,94402,26.8467,80.9462
Uttarakhand,Aipan Art,49611,10,2020,North,28947,30.0668,79.0193
West Bengal,Patachitra,60254,10,2020,East,39627,22.9868,87.855
Delhi,Kathak Dance,104593,10,2020,North,205564,28.7041,77.1025
Jammu and Kashmir,Pashmina Weaving,36126,10,2020,North,34768,33.7782,76.5762
Lakshadweep,Coral Craft,99194,10,2020,South,91366,10.5667,72.6417
Andhra Pradesh,Kalamkari,96333,11,2020,South,193183,15.9129,79.74
Arunachal Pradesh,Monpa Mask,47016,11,2020,Northeast,27843,28.218,94.7278
Assam,Sattriya Dance,22126,11,2020,Northeast,40371,26.2006,92.9376
Bihar,Sujni Embroidery,39311,11,2020,East,22538,25.0961,85.3131
Chhattisgarh,Panthi Dance,43576,11,2020,Central,77429,21.2787,81.8661
Goa,Dekni Dance,58723,11,2020,West,70555,15.2993,74.124
Gujarat,Patola Weaving,74959,11,2020,West,93014,22.2587,71.1924
Haryana,Phag Dance,43231,11,2020,North,26765,29.0588,76.0856
Himachal Pradesh,Chamba Rumal,68610,11,2020,North,39472,31.1048,77.1734
Jharkhand,Dokra Metal Craft,17603,11,2020,East,31838,23.6102,85.2799
Karnataka,Yakshagana,42612,11,2020,South,46979,15.3173,75.7139
Kerala,Mohiniyattam,80161,11,2020,South,66143,10.8505,76.2711
Madhya Pradesh,Bagh Print,53171,11,2020,Central,91069,23.4733,77.947
Maharashtra,Paithani Sarees,49561,11,2020,West,103579,19.7515,75.7139
Manipur,Phanek Weaving,28421,11,2020,Northeast,49023,24.6637,93.9063
Meghalaya,Garo Wangala Dance,48440,11,2020,Northeast,51959,25.467,91.3662
Mizoram,Cheraw Dance,28763,11,2020,Northeast,46454,23.1645,92.9376
Nagaland,Naga Shawl Weaving,22735,11,2020,Northeast,33245,26.1584,94.5624
Odisha,Applique Work,48325,11,2020,East,74518,20.9517,85.0985
Punjab,Bhangra,43347,11,2020,North,74089,31.1471,75.3412
Rajasthan,Blue Pottery,75524,11,2020,North,56414,27.0238,74.2179
Sikkim,Thangka Painting,17042,11,2020,Northeast,25276,27.533,88.5122
Tamil Nadu,Bharatanatyam,65097,11,2020,South,119679,11.1271,78.6569
Telangana,Nirmal Paintings,80218,11,2020,South,115609,18.1124,79.0193
Tripura,Hojagiri Dance,11929,11,2020,Northeast,9532,23.9408,91.9882
Uttar Pradesh,Lucknow Zardozi,75665,11,2020,North,130388,26.8467,80.9462
Uttarakhand,Aipan Art,123503,11,2020,North,101960,30.0668,79.0193
West Bengal,Durga Puja Art,61941,11,2020,East,36903,22.9868,87.855
Delhi,Kathak Dance,127894,11,2020,North,152585,28.7041,77.1025
Jammu and Kashmir,Rauf Dance,69421,11,2020,North,107568,33.7782,76.5762
Lakshadweep,Parichakali,75158,11,2020,South,38110,10.5667,72.6417
Andhra Pradesh,Kalamkari,34360,12,2020,South,41388,15.9129,79.74
Arunachal Pradesh,Thangka Paintings,20318,12,2020,Northeast,42524,28.218,94.7278
Assam,Sattriya Dance,21781,12,2020,Northeast,23187,26.2006,92.9376
Bihar,Manjusha Art,52216,12,2020,East,43145,25.0961,85.3131
Chhattisgarh,Godna Art,59649,12,2020,Central,29711,21.2787,81.8661
Goa,Dekni Dance,57705,12,2020,West,30331,15.2993,74.124
Gujarat,Rogan Art,74418,12,2020,West,86211,22.2587,71.1924
Haryana,Charpai Weaving,80654,12,2020,North,115069,29.0588,76.0856
Himachal Pradesh,Chamba Rumal,87141,12,2020,North,101542,31.1048,77.1734
Jharkhand,Chhau Dance,41865,12,2020,East,40804,23.6102,85.2799
Karnataka,Bidri Ware,94770,12,2020,South,124782,15.3173,75.7139
Kerala,Kathakali,50617,12,2020,South,35724,10.8505,76.2711
Madhya Pradesh,Gond Art,42835,12,2020,Central,39990,23.4733,77.947
Maharashtra,Warli Painting,98400,12,2020,West,90030,19.7515,75.7139
Manipur,Manipuri Dance,26468,12,2020,Northeast,23829,24.6637,93.9063
