state,art_form,tourist_visits,month,year,region,funding_received,latitude,longitude
Rajasthan,Blue Pottery,90147,3,2020,North,107307,27.0238,74.2179
Sikkim,Mask Dance,54030,3,2020,Northeast,75134,27.533,88.5122
Tamil Nadu,Stone Carving,95548,3,2020,South,150154,11.1271,78.6569
Telangana,Bidri Craft,47236,3,2020,South,48425,18.1124,79.0193
Tripura,Bamboo Craft,18897,3,2020,Northeast,16546,23.9408,91.9882
Uttar Pradesh,Chikankari,72734,3,2020,North,91791,26.8467,80.9462
Uttarakhand,Aipan Art,46321,3,2020,North,107406,30.0668,79.0193
West Bengal,Durga Puja Art,24350,3,2020,East,46837,22.9868,87.855
Delhi,Kathak Dance,83057,3,2020,North,126446,28.7041,77.1025
Jammu and Kashmir,Walnut Wood Carving,40975,3,2020,North,49330,33.7782,76.5762
Andhra Pradesh,Kuchipudi,51679,4,2020,South,56557,15.9129,79.74
Arunachal Pradesh,Thangka Paintings,17110,4,2020,Northeast,14047,28.218,94.7278
Assam,Sattriya Dance,36419,4,2020,Northeast,36080,26.2006,92.9376
Bihar,Madhubani Painting,16545,4,2020,East,38551,25.0961,85.3131
Chhattisgarh,Bell Metal Craft,28312,4,2020,Central,21640,21.2787,81.8661
Goa,Fugdi Dance,38619,4,2020,West,43232,15.2993,74.124
Gujarat,Patola Weaving,49961,4,2020,West,114833,22.2587,71.1924
Haryana,Phag Dance,27639,4,2020,North,16057,29.0588,76.0856
Himachal Pradesh,Kangra Painting,44461,4,2020,North,52278,31.1048,77.1734
Jharkhand,Dokra Metal Craft,24927,4,2020,East,30561,23.6102,85.2799
Karnataka,Yakshagana,48598,4,2020,South,36184,15.3173,75.7139
Kerala,Aranmula Kannadi,47023,4,2020,South,54739,10.8505,76.2711
Madhya Pradesh,Chanderi Weaving,37988,4,2020,Central,36071,23.4733,77.947
Maharashtra,Paithani Sarees,40227,4,2020,West,23416,19.7515,75.7139
Manipur,Manipuri Dance,45427,4,2020,Northeast,97459,24.6637,93.9063
Meghalaya,Garo Wangala Dance,33526,4,2020,Northeast,78234,25.467,91.3662
Mizoram,Mizo Bamboo Dance,32680,4,2020,Northeast,25786,23.1645,92.9376
Nagaland,Hornbill Festival Dances,35282,4,2020,Northeast,31737,26.1584,94.5624
Odisha,Applique Work,23622,4,2020,East,43252,20.9517,85.0985
Punjab,Bhangra,39022,4,2020,North,89903,31.1471,75.3412
Rajasthan,Ghoomar Dance,42118,4,2020,North,29556,27.0238,74.2179
Sikkim,Mask Dance,41083,4,2020,Northeast,44449,27.533,88.5122
Tamil Nadu,Tanjore Painting,70286,4,2020,South,73329,11.1271,78.6569
Telangana,Bidri Craft,58560,4,2020,South,55104,18.1124,79.0193
Tripura,Bamboo Craft,31232,4,2020,Northeast,26993,23.9408,91.9882
Uttar Pradesh,Chikankari,101887,4,2020,North,190178,26.8467,80.9462
Uttarakhand,Choliya Dance,42052,4,2020,North,46653,30.0668,79.0193
West Bengal,Durga Puja Art,18427,4,2020,East,15864,22.9868,87.855
Delhi,Kathak Dance,80066,4,2020,North,118968,28.7041,77.1025
Jammu and Kashmir,Pashmina Weaving,64333,4,2020,North,41554,33.7782,76.5762
Andhra Pradesh,Kalamkari,25913,5,2020,South,28678,15.9129,79.74
Arunachal Pradesh,Monpa Mask,50311,5,2020,Northeast,135826,28.218,94.7278
Assam,Sattriya Dance,43544,5,2020,Northeast,90578,26.2006,92.9376
Bihar,Sujni Embroidery,19266,5,2020,East,11277,25.0961,85.3131
Chhattisgarh,Godna Art,20166,5,2020,Central,14904,21.2787,81.8661
Goa,Fugdi Dance,36717,5,2020,West,40975,15.2993,74.124
Gujarat,Rogan Art,40893,5,2020,West,49280,22.2587,71.1924
Haryana,Embroidery Craft,50961,5,2020,North,66997,29.0588,76.0856
Himachal Pradesh,Chamba Rumal,36756,5,2020,North,58215,31.1048,77.1734
Jharkhand,Chhau Dance,16650,5,2020,East,33489,23.6102,85.2799
Karnataka,Yakshagana,39006,5,2020,South,21537,15.3173,75.7139
Kerala,Kathakali,36899,5,2020,South,90510,10.8505,76.2711
Madhya Pradesh,Gond Art,37971,5,2020,Central,46128,23.4733,77.947
Maharashtra,Warli Painting,33776,5,2020,West,27570,19.7515,75.7139
Manipur,Longpi Pottery,29440,5,2020,Northeast,28792,24.6637,93.9063
Meghalaya,Nongkrem Dance,47009,5,2020,Northeast,58238,25.467,91.3662
Mizoram,Puanchei Textiles,19287,5,2020,Northeast,17382,23.1645,92.9376
Nagaland,Hornbill Festival Dances,24276,5,2020,Northeast,29236,26.1584,94.5624
Odisha,Odissi Dance,31611,5,2020,East,50392,20.9517,85.0985
Punjab,Phulkari Embroidery,70854,5,2020,North,65192,31.1471,75.3412
Rajasthan,Blue Pottery,43097,5,2020,North,59460,27.0238,74.2179
Sikkim,Thangka Painting,68311,5,2020,Northeast,118881,27.533,88.5122
Tamil Nadu,Bharatanatyam,23096,5,2020,South,14596,11.1271,78.6569
Telangana,Perini Shivatandavam,55005,5,2020,South,24322,18.1124,79.0193
Tripura,Bamboo Craft,47037,5,2020,Northeast,66318,23.9408,91.9882
Uttar Pradesh,Kathak Dance,53714,5,2020,North,74466,26.8467,80.9462
Uttarakhand,Aipan Art,85382,5,2020,North,59214,30.0668,79.0193
West Bengal,Kantha Stitch,46015,5,2020,East,46502,22.9868,87.855
Delhi,Meenakari Craft,83927,5,2020,North,65422,28.7041,77.1025
Jammu and Kashmir,Pashmina Weaving,75482,5,2020,North,131154,33.7782,76.5762
Andhra Pradesh,Budithi Brass Craft,28832,6,2020,South,24899,15.9129,79.74
Arunachal Pradesh,Thangka Paintings,46317,6,2020,Northeast,61397,28.218,94.7278
Assam,Assam Silk Weaving,40913,6,2020,Northeast,72820,26.2006,92.9376
Bihar,Madhubani Painting,12800,6,2020,East,13369,25.0961,85.3131
Chhattisgarh,Godna Art,9941,6,2020,Central,15468,21.2787,81.8661
Goa,Fugdi Dance,29897,6,2020,West,52724,15.2993,74.124
Gujarat,Garba,32764,6,2020,West,62190,22.2587,71.1924
Haryana,Charpai Weaving,34681,6,2020,North,51299,29.0588,76.0856
Himachal Pradesh,Kullu Shawl Weaving,53788,6,2020,North,95605,31.1048,77.1734
Jharkhand,Sohrai Painting,13820,6,2020,East,33069,23.6102,85.2799
Karnataka,Mysore Painting,21657,6,2020,South,19782,15.3173,75.7139
Kerala,Mohiniyattam,26973,6,2020,South,16773,10.8505,76.2711
Madhya Pradesh,Gond Art,20929,6,2020,Central,34844,23.4733,77.947
Maharashtra,Lavani Dance,23511,6,2020,West,30096,19.7515,75.7139
Manipur,Phanek Weaving,48633,6,2020,Northeast,30036,24.6637,93.9063
Meghalaya,Garo Wangala Dance,40131,6,2020,Northeast,35693,25.467,91.3662
Mizoram,Puanchei Textiles,39520,6,2020,Northeast,35898,23.1645,92.9376
Nagaland,Wood Carving,39192,6,2020,Northeast,35848,26.1584,94.5624
Odisha,Odissi Dance,21230,6,2020,East,24816,20.9517,85.0985
Punjab,Jutti Making,59854,6,2020,North,120001,31.1471,75.3412
Rajasthan,Miniature Painting,83342,6,2020,North,76714,27.0238,74.2179
Sikkim,Thangka Painting,31535,6,2020,Northeast,54986,27.533,88.5122
Tamil Nadu,Tanjore Painting,22877,6,2020,South,22695,11.1271,78.6569
Telangana,Nirmal Paintings,50340,6,2020,South,58783,18.1124,79.0193
Tripura,Risa Textile Weaving,36838,6,2020,Northeast,29462,23.9408,91.9882
Uttar Pradesh,Lucknow Zardozi,79826,6,2020,North,152478,26.8467,80.9462
Uttarakhand,Aipan Art,53736,6,2020,North,31969,30.0668,79.0193
West Bengal,Kantha Stitch,25294,6,2020,East,19875,22.9868,87.855
Delhi,Kathak Dance,79690,6,2020,North,194707,28.7041,77.1025
Jammu and Kashmir,Walnut Wood Carving,40218,6,2020,North,23771,33.7782,76.5762
Andhra Pradesh,Kalamkari,53533,7,2020,South,72053,15.9129,79.74
Arunachal Pradesh,Monpa Mask,9220,7,2020,Northeast,7148,28.218,94.7278
Assam,Sattriya Dance,41614,7,2020,Northeast,35468,26.2006,92.9376
Bihar,Manjusha Art,30321,7,2020,East,40537,25.0961,85.3131
Chhattisgarh,Bell Metal Craft,17334,7,2020,Central,27083,21.2787,81.8661
Goa,Fugdi Dance,35040,7,2020,West,54308,15.2993,74.124
Gujarat,Garba,29564,7,2020,West,13402,22.2587,71.1924
Haryana,Phag Dance,29828,7,2020,North,46625,29.0588,76.0856
Himachal Pradesh,Kangra Painting,39884,7,2020,North,86949,31.1048,77.1734
Jharkhand,Dokra Metal Craft,19465,7,2020,East,15270,23.6102,85.2799
Karnataka,Bidri Ware,23529,7,2020,South,42922,15.3173,75.7139
Kerala,Aranmula Kannadi,37430,7,2020,South,53409,10.8505,76.2711
Madhya Pradesh,Gond Art,29772,7,2020,Central,41130,23.4733,77.947
Maharashtra,Paithani Sarees,75984,7,2020,West,77999,19.7515,75.7139
Manipur,Manipuri Dance,24018,7,2020,Northeast,65752,24.6637,93.9063
Meghalaya,Bamboo Craft,17609,7,2020,Northeast,18398,25.467,91.3662
Mizoram,Cheraw Dance,24473,7,2020,Northeast,54640,23.1645,92.9376
Nagaland,Wood Carving,44469,7,2020,Northeast,86924,26.1584,94.5624
Odisha,Applique Work,43526,7,2020,East,67715,20.9517,85.0985
Punjab,Jutti Making,32822,7,2020,North,16379,31.1471,75.3412
Rajasthan,Ghoomar Dance,40636,7,2020,North,94135,27.0238,74.2179
Sikkim,Thangka Painting,25778,7,2020,Northeast,18915,27.533,88.5122
Tamil Nadu,Bharatanatyam,38411,7,2020,South,49095,11.1271,78.6569
Telangana,Nirmal Paintings,27763,7,2020,South,30308,18.1124,79.0193
Tripura,Hojagiri Dance,30722,7,2020,Northeast,66581,23.9408,91.9882
Uttar Pradesh,Kathak Dance,40836,7,2020,North,31637,26.8467,80.9462
Uttarakhand,Ringal Craft,38595,7,2020,North,77371,30.0668,79.0193
West Bengal,Patachitra,34871,7,2020,East,76822,22.9868,87.855
Delhi,Kathak Dance,39728,7,2020,North,77037,28.7041,77.1025
Jammu and Kashmir,Walnut Wood Carving,52977,7,2020,North,69642,33.7782,76.5762
Andhra Pradesh,Kuchipudi,45780,8,2020,South,59015,15.9129,79.74
Arunachal Pradesh,Wancho Wood Carving,16689,8,2020,Northeast,12363,28.218,94.7278
Assam,Bihu Dance,30466,8,2020,Northeast,38275,26.2006,92.9376
Bihar,Manjusha Art,56013,8,2020,East,86883,25.0961,85.3131
Chhattisgarh,Bell Metal Craft,39819,8,2020,Central,38635,21.2787,81.8661
Goa,Dekni Dance,64644,8,2020,West,33068,15.2993,74.124
Gujarat,Patola Weaving,24363,8,2020,West,29375,22.2587,71.1924
Haryana,Charpai Weaving,13154,8,2020,North,13329,29.0588,76.0856
Himachal Pradesh,Kullu Shawl Weaving,39397,8,2020,North,37156,31.1048,77.1734
Jharkhand,Chhau Dance,39920,8,2020,East,18800,23.6102,85.2799
Karnataka,Yakshagana,49960,8,2020,South,54967,15.3173,75.7139
Kerala,Aranmula Kannadi,88682,8,2020,South,175299,10.8505,76.2711
Madhya Pradesh,Bagh Print,51078,8,2020,Central,46850,23.4733,77.947
Maharashtra,Lavani Dance,65556,8,2020,West,61530,19.7515,75.7139
Manipur,Manipuri Dance,22259,8,2020,Northeast,48358,24.6637,93.9063
Meghalaya,Garo Wangala Dance,16278,8,2020,Northeast,17936,25.467,91.3662
Mizoram,Mizo Bamboo Dance,13130,8,2020,Northeast,12324,23.1645,92.9376
Nagaland,Hornbill Festival Dances,17812,8,2020,Northeast,30970,26.1584,94.5624
Odisha,Applique Work,42926,8,2020,East,44575,20.9517,85.0985
Punjab,Jutti Making,16699,8,2020,North,13752,31.1471,75.3412
Rajasthan,Miniature Painting,38316,8,2020,North,56258,27.0238,74.2179
Sikkim,Mask Dance,25335,8,2020,Northeast,48730,27.533,88.5122
Tamil Nadu,Stone Carving,56798,8,2020,South,146238,11.1271,78.6569
Telangana,Nirmal Paintings,51928,8,2020,South,126545,18.1124,79.0193
Tripura,Risa Textile Weaving,11469,8,2020,Northeast,21210,23.9408,91.9882
Uttar Pradesh,Kathak Dance,47904,8,2020,North,30415,26.8467,80.9462
Uttarakhand,Choliya Dance,26942,8,2020,North,42634,30.0668,79.0193
West Bengal,Durga Puja Art,35245,8,2020,East,45597,22.9868,87.855
Delhi,Kathak Dance,56505,8,2020,North,61840,28.7041,77.1025
Jammu and Kashmir,Rauf Dance,19517,8,2020,North,27503,33.7782,76.5762
Andhra Pradesh,Kuchipudi,64997,9,2020,South,69235,15.9129,79.74
Arunachal Pradesh,Wancho Wood Carving,26507,9,2020,Northeast,46444,28.218,94.7278
Assam,Sattriya Dance,30977,9,2020,Northeast,20710,26.2006,92.9376
Bihar,Madhubani Painting,38818,9,2020,East,48699,25.0961,85.3131
Chhattisgarh,Panthi Dance,29319,9,2020,Central,20921,21.2787,81.8661
Goa,Goan Lacework,57645,9,2020,West,32238,15.2993,74.124
Gujarat,Garba,106778,9,2020,West,272003,22.2587,71.1924
Haryana,Embroidery Craft,36521,9,2020,North,70447,29.0588,76.0856
Himachal Pradesh,Kangra Painting,24778,9,2020,North,55637,31.1048,77.1734
Jharkhand,Chhau Dance,56718,9,2020,East,35442,23.6102,85.2799
Karnataka,Bidri Ware,74789,9,2020,South,55129,15.3173,75.7139
Kerala,Kathakali,95335,9,2020,South,48217,10.8505,76.2711
Madhya Pradesh,Chanderi Weaving,42530,9,2020,Central,22869,23.4733,77.947
Maharashtra,Paithani Sarees,127538,9,2020,West,98789,19.7515,75.7139
Manipur,Longpi Pottery,25417,9,2020,Northeast,48382,24.6637,93.9063
Meghalaya,Bamboo Craft,22105,9,2020,Northeast,16045,25.467,91.3662
Mizoram,Mizo Bamboo Dance,22259,9,2020,Northeast,24950,23.1645,92.9376
Nagaland,Hornbill Festival Dances,36816,9,2020,Northeast,38783,26.1584,94.5624
Odisha,Applique Work,86341,9,2020,East,49460,20.9517,85.0985
Punjab,Jutti Making,31009,9,2020,North,17301,31.1471,75.3412
Rajasthan,Blue Pottery,80354,9,2020,North,127585,27.0238,74.2179
Sikkim,Thangka Painting,40536,9,2020,Northeast,27762,27.533,88.5122
Tamil Nadu,Tanjore Painting,39654,9,2020,South,55401,11.1271,78.6569
Telangana,Perini Shivatandavam,66350,9,2020,South,79440,18.1124,79.0193
Tripura,Hojagiri Dance,35382,9,2020,Northeast,54802,23.9408,91.9882
Uttar Pradesh,Chikankari,37857,9,2020,North,42997,26.8467,80.9462
Uttarakhand,Ringal Craft,21868,9,2020,North,26769,30.0668,79.0193
West Bengal,Patachitra,39268,9,2020,East,29104,22.9868,87.855
Delhi,Zardozi Work,41048,9,2020,North,39366,28.7041,77.1025
Jammu and Kashmir,Rauf Dance,31169,9,2020,North,53449,33.7782,76.5762
Andhra Pradesh,Kuchipudi,82779,10,2020,South,52389,15.9129,79.74
Arunachal Pradesh,Monpa Mask,44969,10,2020,Northeast,56418,28.218,94.7278
Assam,Sattriya Dance,46070,10,2020,Northeast,59550,26.2006,92.9376
Bihar,Madhubani Painting,38504,10,2020,East,73168,25.0961,85.3131
Chhattisgarh,Panthi Dance,29032,10,2020,Central,30458,21.2787,81.8661
Goa,Goan Lacework,113292,10,2020,West,176650,15.2993,74.124
Gujarat,Garba,63298,10,2020,West,56967,22.2587,71.1924
Haryana,Embroidery Craft,31372,10,2020,North,53495,29.0588,76.0856
Himachal Pradesh,Kangra Painting,34484,10,2020,North,25277,31.1048,77.1734
Jharkhand,Dokra Metal Craft,63272,10,2020,East,25401,23.6102,85.2799
Karnataka,Bidri Ware,31877,10,2020,South,38142,15.3173,75.7139
Kerala,Kathakali,119848,10,2020,South,196549,10.8505,76.2711
Madhya Pradesh,Gond Art,103442,10,2020,Central,141796,23.4733,77.947
Maharashtra,Paithani Sarees,64056,10,2020,West,110295,19.7515,75.7139
Manipur,Phanek Weaving,25755,10,2020,Northeast,35957,24.6637,93.9063
Meghalaya,Nongkrem Dance,28504,10,2020,Northeast,18829,25.467,91.3662
Mizoram,Cheraw Dance,42169,10,2020,Northeast,78087,23.1645,92.9376
Nagaland,Wood Carving,28122,10,2020,Northeast,12622,26.1584,94.5624
Odisha,Pattachitra,71680,10,2020,East,78831,20.9517,85.0985
Punjab,Bhangra,40691,10,2020,North,42048,31.1471,75.3412
Rajasthan,Blue Pottery,69257,10,2020,North,65750,27.0238,74.2179
Sikkim,Mask Dance,36477,10,2020,Northeast,23527,27.533,88.5122
Tamil Nadu,Bharatanatyam,94593,10,2020,South,150450,11.1271,78.6569
Telangana,Bidri Craft,54913,10,2020,South,82511,18.1124,79.0193
Tripura,Bamboo Craft,28319,10,2020,Northeast,36485,23.9408,91.9882
Uttar Pradesh,Chikankari,91324,10,2020,North,186506,26.8467,80.9462
Uttarakhand,Ringal Craft,27747,10,2020,North,28945,30.0668,79.0193
West Bengal,Kantha Stitch,64828,10,2020,East,62752,22.9868,87.855
Delhi,Zardozi Work,79085,10,2020,North,42713,28.7041,77.1025
Jammu and Kashmir,Walnut Wood Carving,56180,10,2020,North,38868,33.7782,76.5762
Andhra Pradesh,Kuchipudi,45750,11,2020,South,24902,15.9129,79.74
Arunachal Pradesh,Thangka Paintings,34239,11,2020,Northeast,32769,28.218,94.7278
Assam,Sattriya Dance,51326,11,2020,Northeast,34720,26.2006,92.9376
Bihar,Madhubani Painting,53003,11,2020,East,54924,25.0961,85.3131
Chhattisgarh,Panthi Dance,37074,11,2020,Central,61001,21.2787,81.8661
Goa,Fugdi Dance,77224,11,2020,West,75069,15.2993,74.124
Gujarat,Rogan Art,85565,11,2020,West,122682,22.2587,71.1924
Haryana,Phag Dance,40079,11,2020,North,97981,29.0588,76.0856
Himachal Pradesh,Kullu Shawl Weaving,68333,11,2020,North,94653,31.1048,77.1734
Jharkhand,Chhau Dance,36707,11,2020,East,59234,23.6102,85.2799
Karnataka,Mysore Painting,59394,11,2020,South,73097,15.3173,75.7139
Kerala,Kathakali,51215,11,2020,South,106420,10.8505,76.2711
Madhya Pradesh,Gond Art,59646,11,2020,Central,113168,23.4733,77.947
Maharashtra,Warli Painting,59124,11,2020,West,98746,19.7515,75.7139
Manipur,Longpi Pottery,35433,11,2020,Northeast,25184,24.6637,93.9063
Meghalaya,Nongkrem Dance,31566,11,2020,Northeast,22648,25.467,91.3662
Mizoram,Mizo Bamboo Dance,18924,11,2020,Northeast,28153,23.1645,92.9376
Nagaland,Hornbill Festival Dances,39555,11,2020,Northeast,74142,26.1584,94.5624
Odisha,Odissi Dance,70067,11,2020,East,87997,20.9517,85.0985
Punjab,Bhangra,108461,11,2020,North,67905,31.1471,75.3412
Rajasthan,Miniature Painting,112539,11,2020,North,167927,27.0238,74.2179
Sikkim,Mask Dance,37167,11,2020,Northeast,76759,27.533,88.5122
Tamil Nadu,Bharatanatyam,82114,11,2020,South,69590,11.1271,78.6569
Telangana,Perini Shivatandavam,41280,11,2020,South,33616,18.1124,79.0193
Tripura,Bamboo Craft,43793,11,2020,Northeast,104478,23.9408,91.9882
Uttar Pradesh,Kathak Dance,119934,11,2020,North,190796,26.8467,80.9462
Uttarakhand,Aipan Art,72552,11,2020,North,99200,30.0668,79.0193
West Bengal,Kantha Stitch,66244,11,2020,East,89162,22.9868,87.855
Delhi,Kathak Dance,149812,11,2020,North,125195,28.7041,77.1025
Jammu and Kashmir,Walnut Wood Carving,108624,11,2020,North,82721,33.7782,76.5762
Andhra Pradesh,Budithi Brass Craft,82945,12,2020,South,150067,15.9129,79.74
Arunachal Pradesh,Wancho Wood Carving,14674,12,2020,Northeast,8550,28.218,94.7278
Assam,Bihu Dance,46036,12,2020,Northeast,84116,26.2006,92.9376
Bihar,Manjusha Art,34283,12,2020,East,29038,25.0961,85.3131
Chhattisgarh,Panthi Dance,33092,12,2020,Central,46992,21.2787,81.8661
Goa,Dekni Dance,72829,12,2020,West,44396,15.2993,74.124
Gujarat,Garba,97783,12,2020,West,157423,22.2587,71.1924
Haryana,Embroidery Craft,54254,12,2020,North,29750,29.0588,76.0856
Himachal Pradesh,Kullu Shawl Weaving,136175,12,2020,North,143846,31.1048,77.1734
Jharkhand,Chhau Dance,35105,12,2020,East,46143,23.6102,85.2799
Karnataka,Mysore Painting,60497,12,2020,South,152913,15.3173,75.7139
Kerala,Mohiniyattam,74524,12,2020,South,74604,10.8505,76.2711
Madhya Pradesh,Gond Art,67832,12,2020,Central,98830,23.4733,77.947
Maharashtra,Paithani Sarees,92662,12,2020,West,207181,19.7515,75.7139
Manipur,Longpi Pottery,19910,12,2020,Northeast,19765,24.6637,93.9063
Meghalaya,Garo Wangala Dance,24264,12,2020,Northeast,38018,25.467,91.3662
Mizoram,Cheraw Dance,16612,12,2020,Northeast,18317,23.1645,92.9376
Nagaland,Naga Shawl Weaving,19279,12,2020,Northeast,15493,26.1584,94.5624
Odisha,Applique Work,24116,12,2020,East,38310,20.9517,85.0985
Punjab,Jutti Making,66553,12,2020,North,75403,31.1471,75.3412
Rajasthan,Ghoomar Dance,55668,12,2020,North,88370,27.0238,74.2179
Sikkim,Thangka Painting,26299,12,2020,Northeast,18547,27.533,88.5122
Tamil Nadu,Stone Carving,70711,12,2020,South,24470,11.1271,78.6569
Telangana,Nirmal Paintings,51099,12,2020,South,116559,18.1124,79.0193
Tripura,Bamboo Craft,21378,12,2020,Northeast,14094,23.9408,91.9882
Uttar Pradesh,Lucknow Zardozi,95108,12,2020,North,80242,26.8467,80.9462
